Source,Additional_Lng,f6,f16,f17,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,D1,D2,D3,y,Location_Available,Wind_D_Calm,Wind_D_Variable,Wind_D_Sin,Wind_D_Cos,Record_Delay_Time,is_holiday,has_sensitive_word,Address_Freq,Address_Mean
2,0.7981061,-0.687551,-0.11571811,0.82560617,-0.6179125,0.7176156,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,1,0.055601574,0.114938535,0.6625743,0,0,0.98622125,-1.2988945
1,1.2081563,2.0918415,-0.95285183,0.6548883,0.3208269,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,1.535528,-0.5195302,-0.39609805,1,0,-1.3753313,0.56461275
1,0.6766688,-0.28151804,0.36893824,-0.3125132,-0.10587281,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,-0.557404,-1.4168044,-0.0789842,0,0,1.27169,1.329549
1,0.43304437,-0.43861413,-0.7325535,0.6548883,0.96087646,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,-1.5462592,0.114938535,-0.018813884,0,0,0.51191306,-1.1406318
2,0.09996942,-0.687551,0.32487857,0.69282556,1.1102214,0.47539854,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,-1.077085,1.2872838,-0.20582974,1,0,-0.039362982,-0.21885873
2,0.58503705,-0.687551,0.8976543,-1.1850713,0.10747705,1.5645329,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,-1.4243248,0.74940723,0.76868546,0,0,-0.49100605,1.5883298
1,-1.3632449,-0.48453453,-0.46819547,0.25654647,-0.2560748,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,-0.2584985,-0.49542546,-0.6888185,0,0,-0.38836643,0.5859996
1,0.68485993,-0.6609655,0.41299793,0.5979823,1.8142759,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,-1.077085,-1.0574068,0.69347256,0,0,-0.72618526,-1.3994126
1,0.47638592,0.87857616,-0.6884938,0.40829572,-0.5325725,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0.055601574,1.7728852,-0.40666848,0,0,-1.3753313,-0.032793164
2,0.7973988,-0.687551,0.38747925,-0.070207044,-0.44333875,0.22312255,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0.098345436,-0.3257922,-0.0033535217,0,0,-0.7840392,-1.5227435
2,0.45700073,-0.687551,-0.5563148,1.8309449,0.36349687,1.3544902,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1.6574624,0.114938535,-0.41683242,0,0,1.691599,0.08198291
2,0.9740233,-0.687551,-1.8340452,1.1860106,0.6195167,0.89281476,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,1.1882882,-1.0574068,-0.33308184,0,0,-1.4684018,0.40777588
1,1.0692427,-0.005995673,1.073893,0.6359196,-0.9592722,-0.6422932,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,-1.5462592,0.114938535,0.091769405,1,0,0.9736284,1.1541768
1,-0.1743657,-0.5449561,-1.0409712,-0.69188637,-0.5325725,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0.055601574,0.114938535,-0.5424583,0,0,0.598067,-0.827671
2,-0.68166393,-0.687551,-2.010284,0.12376587,1.1102214,0.4360127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0.6686071,-1.4168044,-0.091994,1,0,-0.13437085,-1.0672036
1,-1.579328,2.0918415,1.1179526,0.31345242,-1.5993218,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0.055601574,0.114938535,0.49426004,0,0,0.966033,0.8405031
2,0.83407086,-0.6633824,-0.64443415,1.0721986,0.6195167,1.3100142,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,-0.557404,1.6466814,0.19950679,0,0,2.2541711,0.7228754
1,1.2011243,-0.6319632,-1.3493888,0.16170318,2.0276258,-0.6422932,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,1.1882882,-1.0574068,0.26211646,0,1,0.14858547,0.8048583
1,1.1931146,1.5480472,1.2501316,0.73076284,-0.10587281,1.5645329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0.055601574,0.114938535,-0.98153895,1,0,-0.07148742,0.2666227
1,-1.704974,-0.16792549,1.2501316,1.0152928,-1.5993218,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.055601574,0.114938535,0.5503648,0,0,-0.9962626,-1.2874882
1,1.0281386,-0.6367969,-1.3934485,0.7876688,-0.10587281,-0.6422932,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,1.6574624,0.114938535,0.12185456,1,0,-0.44648603,0.74497515
2,0.6857942,-0.687551,1.2501316,-0.76776093,-0.31922266,-0.6422932,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0.6686071,1.6466814,-0.42211765,0,0,-0.824163,-1.9882638
2,0.79542667,-0.687551,-0.33601645,0.21860915,-0.6179125,0.7176156,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,1.1882882,-1.0574068,0.20153958,0,0,1.8169035,-1.702393
2,0.75696903,-0.687551,0.11773197,0.04589355,-0.477996,0.5260175,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,-0.050890278,-0.09870308,-0.0033535217,0,0,-0.9962626,0.1675303
1,1.0526968,0.25260866,-0.29195678,0.82560617,-0.9592722,-0.6422932,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,1,0,0,-1.4243248,0.74940723,0.30033275,0,1,-1.4684018,1.2824979
2,0.7045078,-0.687551,1.2501316,1.2239479,-0.1272078,1.6892837,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,1.535528,0.74940723,-0.029790903,0,1,1.7323289,0.95884365
1,-1.6583406,-0.41202864,-1.5256275,0.0099539375,-0.9592722,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0.055601574,0.114938535,0.036071204,1,0,-0.87337977,-1.3145782
2,-1.5904956,-0.687551,-1.5256275,0.31345242,-0.10587281,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,-1.077085,-1.0574068,-0.1903806,1,0,-1.7692647,0.83194834
